start,end,reason
2013-12-05 15:15:00,2013-12-08 15:00:00,combined
2013-12-05 15:15:00,2013-12-08 15:00:00,subtidal_disagree
2013-12-06 06:30:00,2013-12-07 03:30:00,d1_flat
2013-12-11 00:45:00,2013-12-14 11:30:00,combined
2013-12-11 00:45:00,2013-12-14 11:30:00,subtidal_disagree
2013-12-12 12:15:00,2013-12-12 23:45:00,d1_flat
2014-03-01 15:15:00,2014-03-04 23:30:00,combined
2014-03-01 15:15:00,2014-03-04 23:30:00,subtidal_disagree
2014-03-03 13:45:00,2014-03-04 14:15:00,d1_flat
2014-08-12 13:30:00,2014-08-12 21:30:00,combined
2014-08-12 13:30:00,2014-08-12 21:30:00,d1_flat
2014-08-15 09:15:00,2014-09-02 12:30:00,combined
2014-09-06 07:30:00,2014-09-06 15:45:00,combined
2014-09-06 07:30:00,2014-09-06 15:45:00,d1_flat
2016-03-05 04:45:00,2016-03-06 13:15:00,combined
2016-03-05 04:45:00,2016-03-06 13:15:00,subtidal_disagree
2016-11-22 07:30:00,2016-11-22 15:45:00,combined
2016-12-03 14:00:00,2016-12-03 22:30:00,combined
2017-01-21 15:45:00,2017-01-22 02:30:00,combined
2017-01-21 15:45:00,2017-01-22 02:30:00,resid_spike
2017-01-22 16:30:00,2017-01-23 11:00:00,combined
2017-01-22 16:30:00,2017-01-23 11:00:00,resid_spike
2017-02-16 01:30:00,2017-02-24 05:15:00,combined
2017-02-16 01:30:00,2017-02-24 05:15:00,resid_spike
2017-03-19 19:15:00,2017-03-20 08:00:00,combined
2017-03-19 19:15:00,2017-03-20 08:00:00,resid_spike
2017-03-20 21:00:00,2017-03-21 03:00:00,combined
2017-03-20 21:00:00,2017-03-21 03:00:00,resid_spike
2017-05-12 01:45:00,2017-05-17 18:45:00,combined
2017-05-12 01:45:00,2017-05-17 18:45:00,subtidal_disagree
2017-05-13 08:45:00,2017-05-13 18:45:00,d1_flat
2017-05-14 02:00:00,2017-05-14 19:30:00,d1_flat
2017-05-14 16:45:00,2017-05-15 03:00:00,resid_spike
2017-05-15 03:00:00,2017-05-15 20:00:00,d1_flat
2017-05-16 02:30:00,2017-05-16 12:15:00,d1_flat
2017-05-26 04:15:00,2017-05-31 05:30:00,combined
2017-05-26 04:15:00,2017-05-31 05:30:00,subtidal_disagree
2017-05-27 08:00:00,2017-05-27 19:00:00,d1_flat
2017-05-28 01:30:00,2017-05-28 19:15:00,d1_flat
2017-05-29 01:45:00,2017-05-29 19:45:00,d1_flat
2017-05-30 03:30:00,2017-05-30 10:45:00,d1_flat
2017-09-11 09:30:00,2017-09-18 18:15:00,combined
2017-09-11 09:30:00,2017-09-18 18:15:00,subtidal_disagree
2017-09-15 23:00:00,2017-09-16 09:45:00,d1_flat
2017-12-01 07:00:00,2017-12-01 16:00:00,combined
2017-12-01 09:15:00,2017-12-01 16:00:00,d1_flat
2017-12-31 02:30:00,2018-01-04 20:00:00,combined
2017-12-31 02:30:00,2018-01-04 20:00:00,subtidal_disagree
2018-01-01 21:45:00,2018-01-02 13:30:00,d1_flat
2018-01-03 06:30:00,2018-01-04 07:30:00,d1_flat
2018-01-07 04:30:00,2018-01-09 03:45:00,combined
2018-01-07 04:30:00,2018-01-09 03:45:00,subtidal_disagree
2018-01-07 20:15:00,2018-01-08 10:45:00,d1_flat
2018-01-13 06:00:00,2018-01-14 03:30:00,combined
2018-01-13 06:00:00,2018-01-14 03:30:00,subtidal_disagree
2018-01-13 14:15:00,2018-01-13 21:00:00,d1_flat
2018-01-21 18:00:00,2018-01-24 05:15:00,combined
2018-01-21 18:00:00,2018-01-24 05:15:00,subtidal_disagree
2018-01-25 10:00:00,2018-01-26 02:15:00,combined
2018-01-25 11:45:00,2018-01-26 02:15:00,subtidal_disagree
2018-01-25 12:30:00,2018-01-25 20:15:00,d1_flat
2018-01-31 08:30:00,2018-01-31 17:45:00,combined
2018-01-31 11:45:00,2018-01-31 17:45:00,d1_flat
2018-03-01 22:45:00,2018-03-02 06:00:00,combined
2019-01-18 13:00:00,2019-01-20 07:30:00,combined
2019-01-18 13:00:00,2019-01-20 07:30:00,subtidal_disagree
2019-01-19 09:30:00,2019-01-19 16:30:00,d1_flat
2019-06-27 22:45:00,2019-09-24 20:45:00,combined
2019-06-27 22:45:00,2019-07-24 23:30:00,resid_spike
2019-06-28 04:30:00,2019-09-22 10:15:00,clock_shift
2019-07-04 04:30:00,2019-07-04 10:45:00,d1_flat
2019-07-04 05:00:00,2019-07-05 06:45:00,subtidal_disagree
2019-07-06 09:30:00,2019-07-10 18:00:00,subtidal_disagree
2019-07-08 07:45:00,2019-07-08 14:00:00,d1_flat
2019-07-11 06:30:00,2019-07-15 01:00:00,subtidal_disagree
2019-07-11 23:30:00,2019-07-12 06:45:00,d1_flat
2019-07-14 01:30:00,2019-07-14 07:45:00,d1_flat
2019-07-22 10:15:00,2019-07-27 13:45:00,subtidal_disagree
2019-07-26 05:30:00,2019-07-26 13:00:00,resid_spike
2019-07-26 22:30:00,2019-09-24 20:45:00,resid_spike
2019-08-01 03:45:00,2019-08-01 10:00:00,d1_flat
2019-08-02 04:45:00,2019-08-02 10:45:00,d1_flat
2019-08-02 17:15:00,2019-08-04 04:30:00,subtidal_disagree
2019-08-03 05:30:00,2019-08-03 11:45:00,d1_flat
2019-08-04 05:45:00,2019-08-04 11:45:00,d1_flat
2019-08-08 22:15:00,2019-08-09 05:15:00,d1_flat
2019-08-09 23:45:00,2019-08-10 06:00:00,d1_flat
2019-08-11 00:30:00,2019-08-11 06:45:00,d1_flat
2019-08-12 01:15:00,2019-08-12 07:30:00,d1_flat
2019-08-13 02:00:00,2019-08-14 09:15:00,d1_flat
2019-08-15 03:30:00,2019-08-16 10:45:00,d1_flat
2019-08-15 15:45:00,2019-08-16 22:00:00,subtidal_disagree
2019-08-17 04:15:00,2019-08-17 17:30:00,d1_flat
2019-08-17 21:15:00,2019-08-19 07:15:00,subtidal_disagree
2019-08-18 04:45:00,2019-08-19 11:30:00,d1_flat
2019-08-20 06:00:00,2019-08-20 12:00:00,d1_flat
2019-08-21 08:00:00,2019-08-22 09:30:00,subtidal_disagree
2019-08-21 12:30:00,2019-08-22 02:00:00,d1_flat
2019-08-22 13:15:00,2019-08-23 03:00:00,d1_flat
2019-08-23 21:00:00,2019-08-24 04:15:00,d1_flat
2019-08-24 22:30:00,2019-08-25 05:15:00,d1_flat
2019-08-25 23:30:00,2019-08-26 06:00:00,d1_flat
2019-08-27 00:45:00,2019-08-27 07:00:00,d1_flat
2019-08-27 14:00:00,2019-09-03 09:30:00,subtidal_disagree
2019-08-27 18:00:00,2019-08-28 08:30:00,d1_flat
2019-08-29 02:15:00,2019-08-29 09:00:00,d1_flat
2019-08-30 03:00:00,2019-08-30 09:45:00,d1_flat
2019-08-31 03:45:00,2019-08-31 10:30:00,d1_flat
2019-09-03 19:00:00,2019-09-04 01:00:00,d1_flat
2019-09-04 20:00:00,2019-09-05 02:15:00,d1_flat
2019-09-05 20:45:00,2019-09-06 02:45:00,d1_flat
2019-09-06 22:15:00,2019-09-07 04:15:00,d1_flat
2019-09-09 00:15:00,2019-09-09 06:45:00,d1_flat
2019-09-10 01:00:00,2019-09-10 07:00:00,d1_flat
2019-09-11 02:00:00,2019-09-11 08:00:00,d1_flat
2019-09-13 02:45:00,2019-09-13 08:45:00,d1_flat
2019-09-13 17:45:00,2019-09-15 04:45:00,subtidal_disagree
2019-09-14 02:45:00,2019-09-14 10:00:00,d1_flat
2019-09-23 11:30:00,2019-09-23 22:30:00,d1_flat
2019-09-26 10:15:00,2019-10-01 17:15:00,combined
2019-10-05 12:15:00,2019-10-10 12:00:00,combined
2019-10-05 12:15:00,2019-10-05 22:30:00,d1_flat
2019-10-05 15:30:00,2019-10-10 12:00:00,subtidal_disagree
2020-05-13 02:15:00,2020-05-17 18:30:00,combined
2020-05-13 02:15:00,2020-05-17 18:30:00,subtidal_disagree
2020-05-19 13:15:00,2020-05-19 22:15:00,combined
2020-05-19 13:15:00,2020-05-19 22:15:00,d1_flat
2020-05-20 11:00:00,2020-05-20 19:15:00,combined
2020-05-20 11:00:00,2020-05-20 19:15:00,resid_spike
2020-05-22 10:00:00,2020-05-28 16:00:00,combined
2020-05-31 04:30:00,2020-06-04 08:00:00,combined
2020-05-31 04:30:00,2020-06-03 12:15:00,resid_spike
2020-06-01 11:00:00,2020-06-01 20:30:00,d1_flat
2020-06-01 14:15:00,2020-06-04 08:00:00,subtidal_disagree
2020-11-22 07:45:00,2020-11-22 15:30:00,combined
2020-11-22 07:45:00,2020-11-22 15:30:00,d1_flat
2020-11-25 03:15:00,2020-11-30 16:00:00,combined
2020-12-04 11:00:00,2020-12-04 19:45:00,combined
2020-12-04 11:00:00,2020-12-04 19:45:00,d1_flat
2021-01-02 22:15:00,2021-01-03 13:15:00,combined
2021-01-02 22:15:00,2021-01-03 13:15:00,subtidal_disagree
2021-01-10 11:45:00,2021-01-21 20:30:00,combined
2021-01-10 11:45:00,2021-01-21 20:30:00,subtidal_disagree
2021-03-23 17:30:00,2021-03-24 05:45:00,combined
2021-03-23 17:30:00,2021-03-24 05:45:00,subtidal_disagree
2021-04-25 07:00:00,2021-04-26 12:00:00,combined
2021-04-25 07:00:00,2021-04-26 12:00:00,subtidal_disagree
2021-04-27 05:00:00,2021-04-30 23:15:00,combined
2021-04-27 05:00:00,2021-04-30 23:15:00,subtidal_disagree
2021-05-03 19:00:00,2021-05-05 07:15:00,combined
2021-05-03 19:00:00,2021-05-05 07:15:00,subtidal_disagree
2021-05-05 22:15:00,2021-05-12 07:00:00,combined
2021-05-05 22:15:00,2021-05-12 07:00:00,subtidal_disagree
2021-06-21 11:00:00,2021-07-23 21:45:00,combined
2021-06-21 11:00:00,2021-07-23 21:45:00,subtidal_disagree
2021-08-03 01:30:00,2021-08-21 09:30:00,combined
2021-08-03 01:30:00,2021-08-21 09:30:00,subtidal_disagree
2021-12-21 13:00:00,2021-12-24 21:00:00,combined
2021-12-21 13:00:00,2021-12-24 21:00:00,subtidal_disagree
2022-01-18 21:15:00,2022-01-19 07:15:00,combined
2022-01-18 21:15:00,2022-01-19 07:15:00,d1_flat
2022-01-21 19:00:00,2022-01-26 12:00:00,combined
2022-01-30 07:00:00,2022-01-30 16:30:00,combined
2022-01-30 07:00:00,2022-01-30 16:30:00,d1_flat
2022-03-09 20:00:00,2022-03-10 02:30:00,combined
2022-03-09 20:00:00,2022-03-10 02:30:00,d1_flat
2022-03-12 14:15:00,2022-03-15 13:45:00,combined
2022-03-19 08:45:00,2022-03-19 18:45:00,combined
2022-03-19 08:45:00,2022-03-19 18:45:00,d1_flat
2022-05-08 05:30:00,2022-05-08 15:00:00,combined
2022-05-08 05:30:00,2022-05-08 15:00:00,subtidal_disagree
2023-01-13 06:15:00,2023-01-13 12:15:00,combined
2023-01-13 06:15:00,2023-01-13 12:15:00,resid_spike
2023-04-29 18:15:00,2023-04-30 09:00:00,combined
2023-04-29 18:15:00,2023-04-30 09:00:00,subtidal_disagree
2023-07-26 17:30:00,2023-07-28 21:45:00,combined
2023-07-26 17:30:00,2023-07-28 21:45:00,subtidal_disagree
2023-09-11 15:45:00,2023-09-14 05:15:00,combined
2023-09-11 15:45:00,2023-09-14 05:15:00,subtidal_disagree
2024-01-16 00:30:00,2024-01-17 00:00:00,combined
2024-01-16 00:30:00,2024-01-17 00:00:00,subtidal_disagree
2024-03-12 22:30:00,2024-03-13 05:45:00,combined
2024-03-12 22:30:00,2024-03-13 05:45:00,d1_flat
2024-03-15 17:30:00,2024-03-18 13:00:00,combined
2024-03-22 08:00:00,2024-03-22 17:15:00,combined
2024-03-22 08:00:00,2024-03-22 17:15:00,d1_flat
2024-05-05 14:15:00,2024-05-08 08:45:00,combined
2024-05-05 14:15:00,2024-05-08 08:45:00,subtidal_disagree
2024-05-06 08:30:00,2024-05-06 15:30:00,d1_flat
2024-05-07 05:00:00,2024-05-07 12:15:00,d1_flat
2024-07-23 19:30:00,2024-07-25 21:30:00,combined
2024-07-23 19:30:00,2024-07-25 21:30:00,subtidal_disagree
2024-12-14 17:45:00,2024-12-19 16:15:00,combined
2024-12-14 17:45:00,2024-12-19 16:15:00,subtidal_disagree
2025-04-08 08:15:00,2025-04-19 02:45:00,combined
2025-04-08 08:15:00,2025-04-19 02:45:00,subtidal_disagree
2025-04-16 16:00:00,2025-04-19 01:30:00,resid_spike
2025-06-24 01:15:00,2025-06-27 13:45:00,combined
2025-06-24 01:15:00,2025-06-27 13:45:00,subtidal_disagree
2025-07-17 07:45:00,2025-07-24 09:15:00,combined
2025-07-17 07:45:00,2025-07-24 09:15:00,subtidal_disagree
2025-10-28 11:45:00,2025-10-28 19:15:00,combined
2025-10-28 11:45:00,2025-10-28 19:15:00,resid_spike
2025-10-29 08:45:00,2025-10-30 09:00:00,combined
2025-10-29 08:45:00,2025-10-30 09:00:00,resid_spike
2025-12-22 09:45:00,2025-12-22 16:45:00,combined
2025-12-22 09:45:00,2025-12-22 16:45:00,resid_spike
